agency,description,municipality,name,investment,status,latitude,longitude,created_by_id,updated_by_id,created_at,updated_at,deleted,progress
IVEY,"CONSTRUCCIÓN DE 40 ACCIONES  DE VIVIENDA EN EL MUNICIPIO DE BUCTZOTZ, EN EL ESTADO DE YUCATÁN.",Buctzotz,Buctzotz,5024818.7,EN_PROCESO,21.23225337,-88.67434045,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
SSY,ACCIONES DE MANTENIMIENTO Y REHABILITACIÓN DE INFRAESTRUCTURA Y SISTEMAS ELÉCTRICOS EN EL CENTRO DE SALUD DE BUCTZOTZ Y CENTRO DE SALUD DE XBEC,Buctzotz,Buctzotz,98140.49,FINALIZADA,21.23225337,-88.67434045,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IDEFEEY,"CONSTRUCCIÓN DE UN AULA DIDÁCTICA EN LA ESCUELA SECUNDARIA RICARDO LÓPEZ MÉNDEZ DE LA LOCALIDAD Y MUNICIPIO DE CACALCHÉN, CCT. 31DST0032U.",Cacalchén,Cacalchén,961785.95,FINALIZADA,20.98207957,-89.24368312,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IDEFEEY,"REHABILITACIÓN DE COMEDOR EN LA ESCUELA PREESCOLAR CHAC MOOL DE LA LOCALIDAD Y MUNICIPIO DE CACALCHÉN, CCT. 31DJN0110F.",Cacalchén,Cacalchén,1199200.5,EN_PROCESO,20.98207957,-89.24368312,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
INCCOPY,"ILUMINACIÓN Y OBRAS COMPLEMENTARIAS DEL CAMPO DE BÉISBOL EN EL MUNICIPIO DE CACALCHÉN, YUCATÁN.",Cacalchén,Cacalchén,1997983.54,FINALIZADA,20.98207957,-89.24368312,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
SEDER,PROGRAMA CAMINOS RENACIMIENTO,Cacalchén,Cacalchén,640000,FINALIZADA,20.98207957,-89.24368312,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IDEFEEY,"EQUIPAMIENTO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES  EN EL COLEGIO DE BACHILLERES PLANTEL CALOTMUL DE LA LOCALIDAD Y MUNICIPIO DE CALOTMUL, CCT. 31ECB0025T.",Calotmul,Calotmul,46316.36,EN_PROCESO,21.00236956,-88.11503772,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
SEDER,PROGRAMA CAMINOS RENACIMIENTO,Calotmul,Calotmul,640000,FINALIZADA,21.00236956,-88.11503772,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATÁN,REHABILITACIÓN DEL SISTEMA DE CAPTACIÓN DE AGUA POTABLE DE LA LOCALIDAD DE CANSAHCAB DEL MUNICIPIO DE CANSAHCAB DEL ESTADO DE YUCATÁN.,Cansahcab,Cansahcab,1175760.31,FINALIZADA,21.17082023,-89.0830645,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IVEY,"CONSTRUCCIÓN DE 23 ACCIONES  DE VIVIENDA EN EL MUNICIPIO DE CANSAHCAB, EN EL ESTADO DE YUCATÁN.",Cansahcab,Cansahcab,2839997.01,EN_PROCESO,21.17082023,-89.0830645,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATÁN,REHABILITACIÓN DEL SISTEMA DE CAPTACIÓN DE AGUA POTABLE DE LA LOCALIDAD DE SAN ANTONIO XIAT DEL MUNICIPIO DE CANSAHCAB DEL ESTADO DE YUCATÁN.,Cansahcab,Cansahcab,837868,FINALIZADA,21.17082023,-89.0830645,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
